crop;zone;crop_sequence_type;crop_management_strategy;duration;composition;plowing;secondary_tillage;other_mechnical_operations;double_crop;double_crop_type;covercrop;covercrop_type;sowing;sowing_rate;harrow_weeding;hoe_weeding;manual_weeding;pesticides_spraying;localized_spraying;fertilizers_spreading;dble_crop_fertilizers_spreading;manure_spreading;manure_type;dble_crop_harvest;crop_harvest;hay;silage;wrapping;seed_coating;herbicides_TFI;fungicide_TFI;insecticide_TFI;in_furrow_ins_TFI;other_TFI;molluscicide_TFI;growth_regulator_TFI;TFI;iron_phosphate_bio_TFI;tricho_bio_TFI;copper_sulfate_bio_TFI;N_rate;dble_crop_N_rate;manure_rate;irrigation;irrigation_operations;irrigation_rate;dble_crop_yield;crop_yield
silage_corn;sheep_farming_zone;crop_sequence_with_corn;Average conventionnal;1;0;0,9;1,9;0,2;0,3;italian ryegrass;0,1;mustard;1;90000;0;0,4;0;1,2;0;1,3;0,3;0,9;cattle manure;0,3;1;0;0;0;0,9;1;0;0;0;0;0;0;1;0;0;0;95;80;29;0,4;4;120;4;13
silage_corn;sheep_farming_zone;crop_sequence_with_corn;N0;1;0;0,9;1,9;0,2;0,3;italian ryegrass;0,1;mustard;1;90000;0;0,4;0;1,8;0;1,3;0,3;0,9;cattle manure;0,3;1;0;0;0;0,9;1,25;0;0;0,4;0;0,1;0;1,75;0;0;0;95;80;29;0,4;4;120;4;13
silage_corn;sheep_farming_zone;crop_sequence_with_corn;N2a;1;0;0,9;1,9;0,2;0,3;cereal-legume forage mixture;0,1;oat-fababean;1;90000;0;1;0;1,4;0;1,3;0,3;0,9;cattle manure;0,3;1;0;0;0;0,9;1,05;0;0;0,2;0;0;0;1,25;0,1;0;0;95;50;29;0,4;4;120;5;12,5
silage_corn;sheep_farming_zone;crop_sequence_with_corn;N2a bis;1;0;0,9;1,9;0,2;0,3;cereal-legume forage mixture;0,1;oat-fababean;1;90000;0;1,5;0;1,4;1;1,3;0,3;0,9;cattle manure;0,3;1;0;0;0;0,9;0,45;0;0;0,2;0;0;0;0,65;0,1;0;0;95;50;29;0,4;4;120;5;12,5
silage_corn;sheep_farming_zone;crop_sequence_with_corn;N2c ;1;0;0,9;1,9;0,2;0,3;cereal-legume forage mixture;0,1;oat-fababean;1;90000;0;1;0;1,4;0;1,3;0,3;0,9;cattle manure;0,3;1;0;0;0;0,9;0,85;0;0;0,2;0;0;0;1,05;0,1;0;0;95;50;29;0,4;4;120;5;12,5
silage_corn;sheep_farming_zone;crop_sequence_with_temporary_grassland;Average conventionnal;1;0;1;1,5;0,1;0,3;italian ryegrass;0;0;1;90500;0;0,3;0;1,2;0;1;0,3;0,9;cattle manure;0,3;1;0;0;0;0,8;1,1;0;0;0;0;0;0;1,1;0;0;0;65;80;23;0,1;2,5;85;4;13
silage_corn;sheep_farming_zone;crop_sequence_with_temporary_grassland;N0;1;0;1;1,5;0,1;0,3;italian ryegrass;0;0;1;90500;0;0,3;0;1,7;0;1;0,3;0,9;cattle manure;0,3;1;0;0;0;0,8;1,05;0;0;0,5;0;0,1;0;1,65;0;0;0;65;80;23;0,1;2,5;85;4;13
silage_corn;sheep_farming_zone;crop_sequence_with_temporary_grassland;N2a;1;0;1;1,5;0,1;0,3;cereal-legume forage mixture;0;0;1;90500;0;1;0;1,5;0;1;0,3;0,9;cattle manure;0,3;1;0;0;0;0,8;0,85;0;0;0,3;0;0;0;1,15;0,1;0;0;65;50;23;0,1;2,5;85;5;12,5
silage_corn;sheep_farming_zone;crop_sequence_with_temporary_grassland;N2a bis;1;0;1;1,5;0,1;0,3;cereal-legume forage mixture;0;0;1;90500;0;1,5;0;1,5;1;1;0,3;0,9;cattle manure;0,3;1;0;0;0;0,8;0,4;0;0;0,3;0;0;0;0,7;0,1;0;0;65;50;23;0,1;2,5;85;5;12,5
silage_corn;sheep_farming_zone;crop_sequence_organic_livestock_farming;N3;1;0;1;2;0,2;0;0;0;0;1;94500;1,5;1;0;0;0;0;0;1;cattle manure;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;10
