crop;destination;composition;price_conv_low;price_conv_high;price_conv_average;price_org;exp_N_straw_ret;exp_N_straw_exp;lower_heating_value;seed_cost_cert_conv;seed_cost_cert_org;seed_cost_farm_conv;seed_cost_farm_org;seed_cost_unit;seed_cert_share;seed_farm_share;seeder_type;cost_herbicides_TFI;cost_fungicides_TFI;cost_insecticides_TFI;cost_in_furrow_ins_TFI;cost_growth_regulator_TFI;cost_molluscicide_TFI;cost_iron_phosphate_bio_TFI;cost_tricho_bio_TFI;cost_copper_sulfate_bio_TFI
soft_wheat;NA;NA;140;170;160;395;18;22;15,8;0,75;1,15;0,23;0,49;€/kg;0,5;0,5;cereal_seeder;52;58;7;0;29;21;28;0;0
durum_wheat;NA;NA;185;250;215;500;21;26;16,2;1;1,25;0,29;0,61;€/kg;0,75;0,25;cereal_seeder;47;47;7;0;29;21;28;0;0
winter_barley;NA;NA;135;180;155;270;15;19;15,9;0,75;1,05;0,23;0,35;€/kg;0,6;0,4;cereal_seeder;46;58;7;0;29;21;28;0;0
spring_brley;NA;NA;165;205;185;340;15;19;15,9;0,85;1,05;0,26;0,43;€/kg;0,6;0,4;cereal_seeder;56;62;7;0;29;21;28;0;0
grain_corn;NA;NA;125;155;145;295;12;20,1;16,1;0,0016;0,003;0;0;€/seed;1;0;precision_seeder;50;0;10;61;0;21;28;42;0
silage_corn;NA;NA;85;130;100;130;NA;11,5;18,6;0,002;0,003;0;0;€/seed;1;0;precision_seeder;50;0;10;61;0;21;28;42;0
triticale;NA;NA;120;145;140;270;16;19;15,7;0,85;1,1;0,21;0,35;€/kg;0,5;0,5;cereal_seeder;50;66;7;0;29;21;28;0;0
oilseed_rape;NA;NA;325;370;355;800;29;42,8;26,4;29;37;0,45;0,23;€/kg;0,85;0,15;cereal_seeder;55;45;12;0;29;21;28;0;0
winter_protein_pea;NA;NA;185;210;200;400;31;42,9;15,8;1,2;1,55;0,28;0,50;€/kg;0,5;0,5;cereal_seeder;60;37;10;0;0;21;28;0;0
spring_protein_pea;NA;NA;185;210;200;400;31;42,9;15,8;1,2;1,55;0,28;0,50;€/kg;0,5;0,5;cereal_seeder;60;37;10;0;0;21;28;0;0
sunflower;NA;NA;310;375;345;580;24;35,6;26,7;0,001;0,002;0;0;€/seed;1;0;precision_seeder;63;38;24;61;0;21;28;0;0
winter_fababean;NA;NA;175;230;210;380;38;47,7;16,1;1,1;1,45;0,29;0,47;€/kg;0,4;0,6;cereal_seeder;58;38;9;0;0;21;28;0;0
spring_fababean;NA;NA;175;230;210;380;38;47,7;16,1;1,1;1,45;0,29;0,47;€/kg;0,4;0,6;cereal_seeder;58;38;9;0;0;21;28;0;0
soybean;NA;NA;320;350;350;690;56,5;66,5;20,4;1,9;2,9;0,44;0,81;€/kg;0,5;0,5;precision_seeder;57;0;0;61;0;21;28;0;0
sugar_beet;NA;NA;24;30;27;80;1,1;NA;3,9;210;210;0;0;€/100 000 €/seed;1;0;precision_seeder;53;28;16;61;0;21;28;0;0
potatoes;NA;NA;105;210;175;330;3,4;NA;3,5;0,075;0,1;0;0;€/plant;1;0;potatoes_planter;61;30;14;61;0;21;28;0;138
fiber_flax;NA;NA;2600;3500;2900;3500;NA;36,8;41,7;2,2;2,2;0;0;€/kg;1;0;cereal_seeder;53;47;12;0;34;21;28;0;0
oilseed_flax;NA;NA;400;500;450;580;32;48,1;24,2;2,3;3,35;0,55;0,69;€/kg;0,95;0,05;cereal_seeder;36;36;7;0;27;21;28;0;0
lentil;NA;NA;NA;NA;600;1340;11,4;NA;17,0;NA;2,8;0,72;1,53;€/kg;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
buckwheat;NA;NA;NA;NA;NA;805;19;37,2;16,3;NA;3;0;0,94;€/kg;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
chickpea;NA;NA;NA;NA;550;1010;14,2;NA;17,5;1,1;1,3;0,66;1,17;€/kg;1;0;cereal_seeder;49;25;5;0;0;21;28;0;0
sorghum;NA;NA;120;145;135;250;15;NA;16,3;0,0005;0,0006;0;0;€/seed;1;0;precision_seeder;0;0;0;0;0;21;28;0;0
hemp;straw_and_grain;NA;120;240;180;305;NA;14;16,3;4;4;0;0;€/kg;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
hemp;straw;NA;80;155;110;150;NA;14;NA;4;4;0;0;€/kg;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
hemp;grain;NA;380;800;650;1300;NA;14;NA;4;4;0;0;€/kg;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
pulse_cereal_intercrop;NA;NA;NA;NA;140;320;23,5;31,0;15,8;174;222;40;69;€/ha;0,5;0,5;cereal_seeder;0;0;0;0;0;21;28;0;0
alfalfa;harvested;NA;120;160;135;155;NA;29;18,5;5,5;7,3;0,00;0,00;€/kg;1;0;cereal_seeder;100;0;9;0;0;21;28;0;0
alfalfa;standing;NA;60;80;70;80;NA;29;NA;5,5;7,3;0,00;0,00;€/kg;1;0;cereal_seeder;100;0;9;0;0;21;28;0;0
temporary_grassland;harvested;2;100;140;120;140;NA;20;16,6;103;218;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
temporary_grassland;harvested;3;100;140;120;140;NA;20;16,6;103;256;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
temporary_grassland;harvested;multispecies;100;140;120;140;NA;20;16,6;127;247;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
temporary_grassland;standing;2;50;80;65;75;NA;20;NA;103;218;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
temporary_grassland;standing;3;50;80;65;75;NA;20;NA;103;256;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
temporary_grassland;standing;multispecies;50;80;65;75;NA;20;NA;127;247;0;0;€/ha;1;0;cereal_seeder;0;0;0;0;0;0;28;0;0
italian_ryegrass;double-crop;NA;115;200;145;NA;NA;25;18,6;2,7;4,1;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
forage_intercrop;double-crop;NA;85;120;100;125;NA;25;18,7;116;147;48;66;€/ha;0,5;0,5;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
mustard;covercrop;NA;NA;NA;NA;NA;NA;NA;NA;17;23;0;0;€/ha;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
oat_fababean_intercrop;covercrop;NA;NA;NA;NA;NA;NA;NA;NA;104;136;27;44;€/ha;0,5;0,5;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
rye;NA;NA;120;150;140;250;18;22;15,7;0,85;1,1;0,21;0,33;€/kg;0,5;0,5;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
oat;NA;NA;120;140;135;250;16;20;17,2;0,85;1,1;0,20;0,33;€/kg;0,5;0,5;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
forage_pea;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,5;1,85;0,28;0,50;€/kg;0,5;0,5;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
vetch;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,85;2,5;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
english_ryegrass;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,6;7,8;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
white_clover;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,7;15,6;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
violet_clover;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,2;9;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
fetuque;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,6;8,3;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
dactyl;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;8,4;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
lotier;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,2;13,6;0;0;€/kg;1;0;cereal_seeder;NA;NA;NA;NA;NA;NA;NA;NA;NA
