crop;zone;crop_sequence_type;crop_management_strategy;crop_yield;herbicides_TFI;fungicides_TFI;insecticides_TFI;other_TFI;TFI;bio_TFI;total_N_rate;N_balance;irrigation_rate;livestock_density;milk_production;meat_production;gross_product;gross_product_livestock_incl;variable_cost;mechanization_cost;livestock_cost;gross_margin;gross_margin_livestock_incl;net_margin;net_margin_livestock_incl;total_fuel_cons;total_energy_cost;total_energy_product;energy_efficiency;number_operations;working_time;GHG_emissions;GHG_emissions_livestock_incl
silage_corn;sheep_breeding_zone;crop_sequence_with_corn;Average conventionnal;13;1,0;0,0;0,0;0,0;1,0;0;119;83;48;1,41;1888;113;1474;2123;574;440;726;900;823;460;383;148;14,6;264;1808;11,7;8,8;2,1;4,8
silage_corn;sheep_breeding_zone;crop_sequence_with_corn;N0;13;1,3;0,0;0,4;0,1;1,8;0;119;83;48;1,41;1888;113;1474;2123;614;444;726;860;783;417;340;149;14,6;264;1805;12,3;8,9;2,1;4,8
silage_corn;sheep_breeding_zone;crop_sequence_with_corn;N2a;12,5;1,1;0,0;0,2;0,0;1,3;0,1;110;72;48;1,41;1888;113;1400;2123;601;450;726;799;796;349;346;150;14,2;261;1835;12,5;9,1;2,0;4,7
silage_corn;sheep_breeding_zone;crop_sequence_with_corn;N2a bis;12,5;0,5;0,0;0,2;0,0;0,7;0,1;110;72;48;1,41;1888;113;1400;2123;573;465;726;827;824;362;359;153;14,3;261;1822;13,0;9,5;2,0;4,7
silage_corn;sheep_breeding_zone;crop_sequence_with_corn;N2c;12,5;0,9;0,0;0,2;0,0;1,1;0,1;110;72;48;1,39;1598;108;1400;2014;591;450;679;809;744;359;294;150;14,2;261;1835;12,5;9,1;2,0;4,7
silage_corn;sheep_breeding_zone;crop_sequence_with_temporary_grassland;Average conventionnal;13;1,1;0,0;0,0;0,0;1,1;0;89;23;9;1,39;1598;108;1474;2014;451;403;679;1023;884;620;481;145;11,0;264;2401;9,5;7,2;1,6;4,3
silage_corn;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N0;13;1,1;0,0;0,5;0,1;1,7;0;89;23;9;1,39;1598;108;1474;2014;481;407;679;993;854;586;447;145;11,0;264;2397;10,0;7,2;1,6;4,3
silage_corn;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N2a;12,5;0,9;0,0;0,3;0,0;1,2;0,1;80;13;9;1,39;1598;108;1400;2014;464;416;679;936;871;520;455;147;10,6;261;2456;10,5;7,5;1,5;4,2
silage_corn;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N2a bis;12,5;0,4;0,0;0,3;0,0;0,7;0,1;80;13;9;1,39;1598;108;1400;2014;443;431;679;957;892;526;461;149;10,7;261;2434;11,0;7,9;1,5;4,2
silage_corn;sheep_breeding_zone;crop_sequence_organic_livestock_farming;N3;10;0,0;0,0;0,0;0,0;0,0;0;0;50;0;1,36;1433;105;1300;2017;375;357;669;925;973;568;616;131;5,2;186;3558;8,7;6,4;1,0;3,5
winter_barley;sheep_breeding_zone;crop_sequence_with_temporary_grassland;Average conventionnal;4,5;0,7;0,3;0,0;0,0;1,0;0;85;114;0;0;0;0;698;0;261;230;0;437;-261;207;-490;78;7,8;72;924;8,3;3,8;1,3;1,3
winter_barley;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N0;4,5;1,5;0,8;0,2;0,2;2,7;0;85;114;0;0;0;0;698;0;334;243;0;363;-334;121;-577;80;7,8;72;915;10,1;3,9;1,3;1,3
winter_barley;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N2a;4;0,8;0,4;0,0;0,0;1,2;0,1;65;102;0;0;0;0;620;0;254;236;0;366;-254;130;-490;79;6,7;64;951;9,1;3,8;1,1;1,1
triticale;sheep_breeding_zone;crop_sequence_with_temporary_grassland;Average conventionnal;4,5;0,6;0,4;0,0;0,0;1,0;0;75;103;0;0;0;0;630;0;268;228;0;362;-268;135;-495;79;7,2;71;981;8,2;3,7;1,2;1,2
triticale;sheep_breeding_zone;crop_sequence_with_temporary_grassland;N0;4,5;1,5;0,8;0,0;0,2;2,5;0;75;103;0;0;0;0;630;0;345;238;0;285;-345;47;-583;80;7,3;71;973;9,7;3,9;1,2;1,2
